""	"sample"	"tumor"	"tissue"	"type"	"seq"	"dataset"
"1"	"A1-AxLN-Met-R0i_CP-1163"	"Metastatic tumor"	"Lymph node"	"Fresh frozen"	"Illumina HiSeq 2000"	"RAP"
"2"	"A2-LN-Met-subcarinall-R0i_CP-1164"	"Metastatic tumor"	"Brain"	"Fresh frozen"	"Illumina HiSeq 2000"	"RAP"
"3"	"A2-LungMet-R0i_CP-1165"	"Metastatic tumor"	"Lung"	"Fresh frozen"	"Illumina HiSeq 2000"	"RAP"
"4"	"A4-LULungMet-R0i_CP-1166"	"Metastatic tumor"	"Lung"	"Fresh frozen"	"Illumina HiSeq 2000"	"RAP"
"5"	"A8-OvaryMet-R0i_CP-1167"	"Metastatic tumor"	"Ovary"	"Fresh frozen"	"Illumina HiSeq 2000"	"RAP"
"6"	"A11-PrimT-FFPER0i_CP-1358"	"Primary tumor"	"Breast"	"FFPE"	"Illumina HiSeq 2000"	"RAP"
"7"	"A17-9ChestMet-R0i_CP-1161"	"Metastatic tumor"	"Chest"	"Fresh frozen"	"Illumina HiSeq 2000"	"RAP"
"8"	"A18-MuscleMet-R0i_CP-1162"	"Metastatic tumor"	"Muscle"	"Fresh frozen"	"Illumina HiSeq 2000"	"RAP"
"9"	"A19-04PrimT1-FFPER0i_CP-1244"	"Primary tumor"	"Breast"	"FFPE"	"Illumina HiSeq 2000"	"RAP"
"10"	"A19-04PrimT2-FFPER0i_CP-1245"	"Primary tumor"	"Breast"	"FFPE"	"Illumina HiSeq 2000"	"RAP"
"11"	"A19-07-LN-Met-FFPER0i_CP-1246"	"Metastatic tumor"	"Lymph node"	"FFPE"	"Illumina HiSeq 2000"	"RAP"
"12"	"A20-PrimT-FFPER0i_CP-1247"	"Primary tumor"	"Breast"	"FFPE"	"Illumina HiSeq 2000"	"RAP"
"13"	"A21-AdrenalMet-R0i_CP-1158"	"Metastatic tumor"	"Adrenal"	"Fresh frozen"	"Illumina HiSeq 2000"	"RAP"
"14"	"A21-LivMet-2-R0i_CP-1160"	"Metastatic tumor"	"Liver"	"Fresh frozen"	"Illumina HiSeq 2000"	"RAP"
"15"	"A21-LivMet-3-R0i_CP-1159"	"Metastatic tumor"	"Liver"	"Fresh frozen"	"Illumina HiSeq 2000"	"RAP"
"16"	"A23-BrainMet-2-R0i_CP-1168"	"Metastatic tumor"	"Brain"	"Fresh frozen"	"Illumina HiSeq 2000"	"RAP"
"17"	"A23-BrainMet-3-R0i_CP-1169"	"Metastatic tumor"	"Brain"	"Fresh frozen"	"Illumina HiSeq 2000"	"RAP"
"18"	"A1-PrimT_ROi_CP-2535"	"Primary tumor"	"Breast"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"19"	"A1-1-R-LUNG-MET_ROi_CP-2536"	"Metastatic tumor"	"Lung"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"20"	"A1-10-ADREN_MET_ROi_CP-2538"	"Metastatic tumor"	"Adrenal"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"21"	"A1-13-LIVER-MET_ROi_CP-2539"	"Metastatic tumor"	"Liver"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"22"	"A1-4-SPIN-MET_ROi_CP-2537"	"Metastatic tumor"	"Spine"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"23"	"A1-AxLN-Met_ROi_CP-2540"	"Metastatic tumor"	"Lymph node"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"24"	"A2-PrimT-FFPER0i_CP-1365"	"Primary tumor"	"Breast"	"FFPE"	"Illumina HiSeq 2500"	"RAP"
"25"	"A4-PrimT020306B__ROi_CP-2542"	"Primary tumor"	"Breast"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"26"	"A4-LUL-LungMet-R0i_CP-3049"	"Metastatic tumor"	"Lung"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"27"	"A4-LULungMet_ROi_CP-2541"	"Metastatic tumor"	"Lung"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"28"	"A5-PrimT030065B_ROi_CP-2545"	"Primary tumor"	"Breast"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"29"	"A5-CHESTwal-MET_ROi_CP-2543"	"Metastatic tumor"	"Chest"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"30"	"A5-SkinMet-R-R0i_CP-3050"	"Metastatic tumor"	"Skin"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"31"	"A5-SkinMet-R_ROi_CP-2544"	"Metastatic tumor"	"Skin"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"32"	"A7-PrimT020552B_ROi_CP-2546"	"Primary tumor"	"Breast"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"33"	"A7-1LiverMet_ROi_CP-2547"	"Metastatic tumor"	"Liver"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"34"	"A7-BRAIN-MET_ROi_CP-2548"	"Metastatic tumor"	"Brain"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"35"	"A7-KIDNEY-MET_ROi_CP-2549"	"Metastatic tumor"	"Kidney"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"36"	"A7-LUNG-MET_ROi_CP-2550"	"Metastatic tumor"	"Lung"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"37"	"A7-RIB-MET_ROi_CP-2551"	"Metastatic tumor"	"Rib"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"38"	"A8-PrimT-030222B-R0i_CP-2731"	"Primary tumor"	"Breast"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"39"	"A11-BRAIN-MET_ROi_CP-2552"	"Metastatic tumor"	"Brain"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"40"	"A11-CELEBE-MET_ROi_CP-2553"	"Metastatic tumor"	"Brain"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"41"	"A11-LIVER-MET_ROi_CP-2554"	"Metastatic tumor"	"Liver"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"42"	"A11-LUNG-MET_ROi_CP-2555"	"Metastatic tumor"	"Lung"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"43"	"A11-RIB-MET_ROi_CP-2556"	"Metastatic tumor"	"Rib"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"44"	"A11-THYRO-MET_ROi_CP-2557"	"Metastatic tumor"	"Thyroid"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
"45"	"A12-PriT020076B_ROi_CP-2564"	"Primary tumor"	"Breast"	"Fresh frozen"	"Illumina HiSeq 2500"	"RAP"
